explique;explication
expo;exposition
exté;extérieur
fac;faculté
facho;fasciste
fague;fagot
faire de l'harmone;faire du bruit 
faire la surse;sur
faire une ento;voler à l'entôlage
falze;falzard
fana;fanatique
faub germ;faubourg
fauffe;faufière
fav';favori
fech';fait chier 
fell;fellagha
figue;arabe
fil de f;fil
filmo;filmographie
flag;arrestation en flagrant délit
flingue;flingot
flip;flipper
flo;florence
fol' berg';folies-bergères
fol-dram;folies-dramatiques
folklo;folklorique
foot;football 
formid;formidable
forti;fortification 
fortifs;fortifications
fous le c;fous le camp
franc-mac;franc-maçon
frangib;frangibus
frido;allemand
frigo;frigidaire
from;fromage
fédé;fédéral 
gade;chute
galure;galurin
galvano;galvanotype
garde mob;garde mobile
gargue;gargoine
gestape;gestapo
gestio;officier gestionnaire
ghis;ghislain
gibe;gibier
gig;gigolo
gobe;gobelet
gogues;goguenots
goldi;surnom de 
gonio;goniométrie
gordo;gordini
gourgande;gourgandine 
graf;graffiti
groupe électro;groupe électrogène
gym;gymnastique
gynéco;gynécologue
gyro;gyrophare 
géné;général
géné de commiss;général de commission
géo;géographie
hasch;hachich
hebdo;hebdomadaire
hecto;hectolitre
hip;drogué
hist nat;histoire naturelle
histo;histologie
homo;homosexuel
hospi;hospitalisation
hyper;hypermarché
hypo;hypocrite
hélico;hélicoptère
héro;héroïne 
hérédo;hérédo-syphilitique 
hétéro;hétérosexuel
imper;imperméable
impro;improvisation
indemnes;indemnités
indic;indicateur
indo;indochine
infi;infirmerie
infir;infirmerie
infirm;infirmerie
info;information
ino;inoccupé
instit;instituteur
interpro;interprofession
interro;interrogation
intox;mensonge
intran (l'-);l'intransigeant 
intro;introduction 
introduc;introduction
intérim;intérimaire
ipéca;ipécacuana
italo;italien 
jag;jaguar 
jam de la v;jamais de la vie 
jap;japonais
jar;jargon
juxta;juxtalinéaire
kanter;kanterbrau 
kawa;kawazaki 
kiki;kinortine 
kil;kilo
kilo;kilogramme
kiné;kinésithérapie 
kinési;kinésithérapeute
kymo;kymographe
kéro;kérozène
la chab';la chabossière
la f (pour la -);pour la frime
la juste;la justice 
la mouffe;rue mouffetard
la préfec;préfecture
labo;laboratoire
lacrymo;lacrymogène
langues o;langues orientales
lans;lansquenet 
lansqu;lansquenet
lap;la
lavab;lavabo
lavedu;terme de mépris 
laxon;paquet
le p'tit lu;le p'tit lucien
libé;libération 
lieute;lieutenant 
lingue;lingot d'or
lino;linotype
litho;lithographie
loc;location
loco;locomotive
logo;logotype
lopaille;homosexuel
lope;homosexuel
lorce;lorcefé 
loub;loubard
louf;loufiat 
légi;cours de législation
mac;maquereau
maca;macaroni
macchab;macchabée
macdo;mac donald 
machino;machiniste
macro;macro-instruction
magase;magasin
magne;manière
magnéto;machine
majo;majoritaire
malag;malaguti 
