short,full,common,added,cut,ending,is_vocal,pos,len_s,len_f,len_ratio
bac,baccarat,bac,,carat,c,False,,3,8,2.66
baccar,baccarat,baccar,,at,r,False,,6,8,1.33
bactério,bactériologie,bacterio,,logie,o,True,nom,8,13,1.62
bal,ballon,bal,,lon,l,False,,3,6,2.0
balnéo,balnéothérapie,balneo,,therapie,o,True,nom,6,14,2.33
bando,bandonéon,bando,,neon,o,True,,5,9,1.8
barbec',barbecue,barbec,e,ue,',False,nom,7,8,1.14
barbi,barbituriques,barbi,,turiques,i,True,,5,13,2.6
barbill,barbillon,barbill,,on,l,False,,7,9,1.28
barbo,barbouillage,barbo,,uillage,o,True,nom,5,12,2.4
barje,barjot,barj,e,ot,e,False,,5,6,1.2
basket,basket-ball,basket,,ball,t,False,nom,6,11,1.83
baz,bazar,baz,,ar,z,False,nom,3,5,1.66
beach,beach-volley,beach,,volley,h,False,nom,5,12,2.4
beauf,beau-frère,beauf,,rere,f,False,nom,5,10,2.0
beaujo,beaujolais,beaujo,,lais,o,True,nom,6,10,1.66
beaujol,beaujolais,beaujol,,ais,l,False,,7,10,1.42
ber,berri,ber,,ri,r,False,,3,5,1.66
bi,bisexuel,bi,,sexuel,i,True,adj,2,8,4.0
bibli,bibliothèque,bibli,,otheque,i,True,,5,12,2.4
biblio,bibliographie,biblio,,grafie,o,True,nom,6,13,2.16
biblio,bibliothèque,biblio,,theque,o,True,,6,12,2.0
bic,bicot,bic,,ot,c,False,,3,5,1.66
biclo,biclot,biclo,,t,o,True,nom,5,6,1.2
biclo,biclou,biclo,,u,o,True,nom,5,6,1.2
bide,bidon,bid,e,on,e,False,nom,4,5,1.25
bif,bifteck,bif,,teck,f,False,nom,3,7,2.33
biffe,biffin,bif,e,in,e,False,,5,6,1.2
bifur,bifurcation,bifur,,cation,r,False,nom,5,11,2.2
bign',bignouf,bign,e,ouf,',False,nom,5,7,1.4
bigne,bignouf,bign,e,ouf,e,False,nom,5,7,1.4
bigo,bigophone,bigo,,fone,o,True,nom,4,9,2.25
bigor,bigorneau,bigor,,neau,r,False,nom,5,9,1.8
bino,binoculaire,bino,,culaire,o,True,adj,4,11,2.75
bio,biographie,bio,,grafie,o,True,nom,3,10,3.33
bio,biologie,bio,,logie,o,True,nom,3,8,2.66
bio,biologique,bio,,logique,o,True,adj,3,10,3.33
bistre,bistrot,bistr,e,ot,e,False,,6,7,1.16
