dissert,dissertation
disserte,dissertation
distrib,distribution
doc,docteur
doc,document
doc,documentation
docu,documentaire
dolicho,dolichocéphale
dome,domicile
domi,dominique
dort,dortoir
dorto,dortoir
drag,dragster
drug,drug-store
drug,drugstore
dèche,déchéance
déb,débile
déca,décaféiner
déca,décaféiné
déci,décilitre
déco,déconnexion
déco,décoration
dégueu,dégueulasse
dégui,déguisé
dém,démission
démago,démagogique
démago,démagogue
démo,démonstration
démoc,démocrate
déo,déodorant
désert,déserteur
désintoxe,désintoxication
déso,désolé
déter,déterminé
e-cig,e-cigarette
ecsta,ecstasy
elisa,elisabeth
embroc,embrocation
emmerde,emmerdement
emmerdes,emmerdement
encéphalo,encéphalite
enduro,endurance
engueulo,engueulade
entourloupe,entourloupette
es,escroc
escal,escalier
escort,escort-girl
esq,esquire
esq,esquisse
estom,estomac
estome,estomac
ethno,ethnologie
euro,europe
exam,examen
exc,excellence
exhibi,exhibitionniste
exo,exercice
exo,extérieur
expat,expatriate
expat,expatrié
expo,exposition
export,exportation
expé,expédition
extra,extraordinaire
exté,extérieur
fac,faculté
falze,falzard
fan,fanatic
fan,fanatique
fana,fanatique
far,farci
fauffe,faufière
fav',favori
fell,fellagha
ferro,ferroprussiate
ferry,ferry-boat
filmo,filmographie
flip,flip-flap
flip,flipper
flo,flora
flo,florence
flo,florian
fluo,fluorescent
folklo,folklorique
foot,football
formid,formidable
fort,forte
forti,fortification
fortifes,fortifications
fortifs,fortifications
fox,fox-terrier
franco,franchement
frangib,frangibus
fred,frédéric
fric,fricot
frigo,frigidaire
frigo,frigorifique
frigo,frigorifié
froido,froidement
from,fromage
fumi,fumigène
funi,funiculaire
fut',futal
fute,futal
fédé,fédéral
fédé,fédération
galure,galurin
galvano,galvanoplastie
galvano,galvanotype
gaspi,gaspillage
gaspille,gaspillage
gastro,gastro-entérite
gastro,gastronomique
gaucho,gauchiste
ghis,ghislain
gibe,gibier
gig,gigolo
giga,gigantesque
giga,gigaoctet
gin,gin-rami
gin,gin-rummy
glycéro,glycérophtalique
goal,goal-keeper
gobe,gobelet
gode,godemiché
godilles,godillots
gogue,goguenot
gogues,goguenots
gonio,goniomètre
gonio,goniométrie
gordo,gordini
gourgande,gourgandine
graf,graffiti
gramo,gramophone
grand-ma,grand-maman
grand-pa,grand-papa
gratos,gratuitement
greg,gregor
grill,grill-room
gummi,gummiknüppel
gus,gustave
gym,gymnastique
gynéco,gynécologie
gynéco,gynécologiste
gynéco,gynécologue
gyro,gyrophare
gyro,gyroscope
géné,général
géo,géographie
géo,géométrie
hack,hackney
hallu,hallucination
hand,hand-ball
hand,handball
hard,hardware
hasch,haschich
hasch,haschisch
hebdo,hebdomadaire
hecto,hectolitre
hexa,hexadécimal
hip,hippie
hip,hippies
hip,hippy
hippo,hippopotame
hippo,hippopotamus
histo,histogramme
histo,histologie
hitch,hitchcock
hom,homonyme
homo,homosexual
homo,homosexuel
hospi,hospitalisation
hyper,hypermarché
hypo,hypocrite
hystéro,hystérique
hélico,hélicoptère
hélio,héliogravure
héro,héroïne
hérédo,hérédo-syphilitique
hérédo,hérédosyphilis
hétéro,hétérosexuel
ibid,ibidem
icono,iconographie
illu,illustration
immo,immobilier
impec,impeccable
impec,impeccablement
imper,imperméable
import,importation
impro,improvisation
in-octavo,in-octavique
incruste,incrustation
indemnes,indemnités
indic,indicateur
indo,indochine
indé,indépendant
infi,infirmerie
infir,infirmerie
infirm,infirmerie
info,information
ingé,ingénieur
ino,inoccupé
inox,inoxydable
insti,instituteur
insti,institutrice
instit,instituteur
instit,institutrice
intello,intellectuel
inter,interurbain
inter,intérieur
interpro,interprofession
interro,interrogation
intox,intoxication
intoxe,intoxication
intro,introduction
introduc,introduction
intérim,intérimaire
invar,invariable
invit,invitation
invite,invitation
ipéca,ipécacuana
isa,isabelle
italo,italien
jag,jaguar
jap,japanese
jap,japonais
jar,jargon
jean-mi,jean-michel
jo,joseph
jo,josé
jockey,jockey-club
juke,juke-box
jumbo,jumbo-jet
justif,justification
juxta,juxtalinéaire
jèse,jésuite
kalach,kalachnikov
kalash,kalashnikov
kanter,kanterbrau
kawa,kawazaki
kick,kick-starter
kil,kilo
kilo,kilogram
kilo,kilogramme
kilo,kilometre
