short;full;pos
fumi;fumigène;nom
funi;funiculaire;adj
fut';futal;nom
fédé;fédération;nom
galure;galurin;nom
galvano;galvanoplastie;nom
galvano;galvanotype;nom
gaspille;gaspillage;nom
gaspi;gaspillage;nom
gastro;gastro-entérite;nom
gastro;gastronomique;adj
gaucho;gauchiste;nom
giga;gigaoctet;nom
gin;gin-rami;nom
gin;gin-rummy;nom
goal;goal-keeper;nom
gode;godemiché;nom
gonio;goniomètre;nom
gonio;goniométrie;nom
gramo;gramophone;nom
grand-ma;grand-maman;nom
grand-pa;grand-papa;nom
gratos;gratuitement;adv
grill;grill-room;nom
gus;gustave;nom propre
gym;gymnastique;nom
gynéco;gynécologie;nom
gynéco;gynécologiste;nom
gynéco;gynécologue;nom
géo;géographie;nom
géo;géométrie;nom
hack;hackney;nom propre
hallu;hallucination;nom
hand;hand-ball;nom
hand;handball;nom
hard;hardware;nom
hasch;haschich;nom
hasch;haschisch;nom
hebdo;hebdomadaire;adj
hecto;hectolitre;nom
hip;hippie;nom
hip;hippies;nom
hippo;hippopotame;nom
hippo;hippopotamus;nom
hip;hippy;nom
histo;histogramme;nom
hitch;hitchcock;nom propre
hom;homonyme;nom
homo;homosexuel;adj
hystéro;hystérique;adj
hélico;hélicoptère;nom
hélio;héliogravure;nom
héro;héroïne;nom
hérédo;hérédosyphilis;nom
hétéro;hétérosexuel;adj
ibid;ibidem;adv
icono;iconographie;nom
illu;illustration;nom
immo;immobilier;adj
impec;impeccable;adj
impec;impeccablement;adv
imper;imperméable;adj
import;importation;nom
impro;improvisation;nom
in-octavo;in-octavique;adj
incruste;incrustation;nom
indic;indicateur;nom
info;information;nom
inox;inoxydable;adj
insti;instituteur;nom
instit;instituteur;nom
intello;intellectuel;adj
interro;interrogation;nom
inter;interurbain;adj
intox;intoxication;nom
intoxe;intoxication;nom
intro;introduction;nom
inter;intérieur;adj
invar;invariable;adj
invit;invitation;nom
isa;isabelle;nom propre
jag;jaguar;nom
jap;japonais;nom
jar;jargon;nom
jean-mi;jean-michel;nom propre
jockey;jockey-club;nom
jo;joseph;nom propre
jo;josé;nom propre
juke;juke-box;nom
jumbo;jumbo-jet;nom
justif;justification;nom
jèse;jésuite;nom
kalach;kalachnikov;nom
kick;kick-starter;nom
kil;kilo;nom
kilo;kilogramme;nom
kinési;kinésithérapeute;nom
kiné;kinésithérapeute;nom
kinési;kinésithérapie;nom
labo;laboratoire;nom
lanche;lanchara;nom
lino;linoléum;nom
lino;linotype;nom
lipo;liposuccion;nom
litho;lithographie;nom
loco;locomotive;nom
log;logarithme;nom
logo;logotype;nom
loub;loubard;nom
ludo;ludovic;nom propre
lunch;luncheon;nom
macchab;macchabée;nom
macrophoto;macrophotographie;nom
macro;macroéconomie;nom
macule;maculature;nom
magnéto;magnétophone;nom
magnéto;magnétoélectrique;adj
majo;majoritaire;adj
ma;maman;nom
manif;manifestation;nom
manip;manipulation;nom
manu;manuel;nom
mao;maoïste;nom
marlin;marlinspike;nom
maso;masochiste;nom
mater;maternelle;adj
math;mathématique;nom
maths;mathématique;nom
maths;mathématiques;nom
mat';matin;nom
mat';matin;nom
matt;matthew;nom propre
matt;matthieu;nom propre
matu;maturité;nom
maxi;maximal;adj
max;maximum;nom
maxi;maximum;nom
mayo;mayonnaise;nom
micro;micro-informatique;nom
micro;micro-ordinateur;nom
micro;microphone;nom
mili;militaire;adj
mino;mineur;nom
mini;mini-jupe;nom
mini;mini-ordinateur;nom
min;minute;nom
miso;misogyne;nom
miss;mistress;nom
mob;mobylette;nom
modif;modification;nom
mole;molécule;nom
momi;mominette;nom
mollo;mollement;adv
mono;moniteur;nom
mono;monocylindre;nom
mono;mononucléose;nom
mono;monophonie;nom
mono;monophonique;adj
mons;monsieur;nom
moto;motocyclette;nom
mouss;moustafa;nom
mouss;moustapha;nom
muscu;musculation;nom
mytho;mythomane;nom
mécano;mécanicien;nom
méga;méga-octet;nom
mégalo;mégalomane;nom
mélo;mélodrame;nom
mémo;mémorandum;nom
méphisto;méphistophélès;nom propre
méta;métaldéhyde;nom
métallo;métallurgiste;nom
métro;métropolitain;nom
météo;météorologie;nom
météo;météorologique;adj
mêlé-casse;mêlé-cassis;nom
nap;napoléon;nom propre
narco;narcotrafiquant;nom
natha;nathalie;nom propre
nave;navet;nom
news;newsmagazine;nom
nico;nicolas;nom propre
nordaf;nord-africain;adj
nympho;nymphomane;nom
nécro;nécrologie;nom
néo;néoplasme;nom
nœud-pap;nœud-papillon;nom
occase;occasion;nom
oli;olivier;nom propre
ophtalmo;ophtalmologiste;nom
ophtalmo;ophtalmologue;nom
op;opus;nom
ordi;ordinateur;nom
orthicon;orthiconoscope;nom
oto-rhino;oto-rhino-laryngologiste;nom
paf;paffé;interj
palu;paludisme;nom
pam;pamela;nom
panam;panaméricain;adj
panchro;panchromatique;adj
pano;panoramique;adj
pa;papa;nom
para;parachutiste;nom
parano;paranoïa;nom
parano;paranoïaque;nom
passe;passe-partout;nom
pater;paternel;adj
pat;patrick;nom propre
patro;patronage;nom
pectos;pectoraux;adj
pelote;peloton;nom
perco;percolateur;nom
perf;perfecto;adv
perfo;perforateur;nom
perfo;perforation;nom
perfo;perforeuse;nom
perf;perfusion;nom
perm;permanence;nom
perm;perme;nom
perm;permission;nom
perme;permission;nom
perquise;perquisition;nom
perso;personnel;adj
pete;peter;nom propre
petit-déj';petit-déjeuner;nom
phaco;phacochère;nom
phallo;phallocrate;nom
pharma;pharmacie;nom
phil;philippe;nom propre
philo;philosophie;nom
phono;phonographe;nom
photocompo;photocomposition;nom
photo;photograph;nom
photo;photographie;nom
piano;piano-forte;nom
pi;pied;nom
pipe;pipeline;nom
pit;pit-bull;nom
pit;pitbull;nom
pive;pivois;nom
pizz;pizzicato;nom
placo;placoplâtre;nom
plum;plum-cake;nom
plum;plum-pouding;nom
plum;plum-pudding;nom
plume;plumard;nom
pneu;pneumatique;adj
poisse;poisson;nom
polio;poliomyélite;nom
poly;polycopié;adj
populo;populace;nom
porno;pornographie;nom
porno;pornographique;adj
port;portable;adj
postère;postérieur;adj
pote;poteau;nom
po;pouce;nom
pouffe;pouffiasse;nom
pouffe;poufiasse;nom
preu;premier;nom
prisu;prisunic;adj
problo;problème;nom
prod;production;nom
prof;professeur;nom
pro;professionnel;adj
prog;programmation;nom
projo;projecteur;nom
prolong;prolongation;nom
prolo;prolétaire;adj
promo;promotion;nom
prono;pronostic;adj
proprio;propriétaire;adj
propé;propédeutique;adj
proto;prototype;nom
prov;proverbe;nom
