gradus;gradus ad parnassum
granny;granny smith
gratis;gratuitement
greco;groupement
groupe électro;groupe électrogène
gégé;gérard
géné de commiss;général de commission
hamburger;hamburger steak
hard;hard rock
hasch;hachich
hash;haschich
heures supp;heures supplémentaires
hi-fi;high fidelity
hip;drogué
hist nat;histoire naturelle
holding;holding company
horresco;horresco referens
hosteau;hôpital
hosto;hôpital
illusion;illuses
in partibus;in partibus infidelium
info;informations données par la radio ou la télévision
initial;initiales formant le nom d'
injection;injection hypodermique
injection;injection sous-cutanée
intox;mensonge
intran l'-;l'intransigeant
jam de la v;jamais de la vie
jodhpur;jodhpur breeches
jojo;avec redoublement généralement hypocoristique
jojo;joli
joli;jojo
journaleux;journaliste
jèze;jèse
jèze;jésuite
kapo;kamerad polizei
keud;que dalle
kiki;kinortine
la chab';la chabossière
la f pour la -;pour la frime
la juste;la justice
la mouffe;rue mouffetard
la préfec;préfecture
langues o;langues orientales
lap;la
latin;lat. pop
lavedu;terme de mépris
laxon;paquet
le p'tit lu;le p'tit lucien
libé;libération plus spécifiquement la publication
lingue;lingot d'or
liste;liste de fautes
lopaille;homosexuel
lope;homosexuel
louftingue;loufoque
loulou;loubar
loulou;loubard
loulou;louise
lulu;lucien
lulu;lucienne
légi;cours de législation
mac;maquereau
maccab;macchabée
macdo;mac donald
mag;magasine pas si rare: plus de 1.500.000 d'ocurrences sur google!
magne;manière
magnes;manière
magnéto;génératrice magnéto-électrique
magnéto;machine
malou;marie-louise
manche;idée de maladresse ou de bêtise
manipulation;manipulations génétiques
marab;aumônier
march-logis;maréchal des logis
margis;maréchal des logis
marine;marine de guerre
marité;marie-thérèse
mastroc;mastroquet
math géné;mathématiques générales
math spé;mathématiques spéciales
math sup;mathématiques supérieures
math élém;mathématiques élémentaires
mattes;mathurin
maître;maître bolbec et son mari
maître d'hô;maître d'hôtel
maîtresse;maître bolbec et son mari
meccano;mechanics
membrinf;membre
merdeuf;"mère de famille" début du xxième dont la consonance évoque meuf « femme » en verlan
merka;appareil d'éclairage individuel
micro;combiné de téléphone
micro;microphone j'ai une panne de micro
mike;micro
mili;l'exercice
mili fana;passionné de choses militaires
mimi;mignon
minen;torpille aérienne allemande lancée par les mortiers de tranchée
mini;mauvaise note
mobile;moblot
moblot;mobile
mode op;mode opératoire
modem;modulateur-démodulateur
mod ;modulo
moit' moit';moitié moitié
momo;maurice
monac;sou
mono;monitrice des colonies de vacances
mono;type de moteur
morion;mormorion
moza;mozzarelle
multiple;multiple à droite à gauche d'un élément
muzz;musulman
mère-sup;mère supérieure (dans les "institutions
méca ra;mécanique rationnelle
méd-op;médecine opérative
médauxe;médecin auxiliaire
méningo;malade atteint de méningite
ménoche;ménopause
n'imp;n'importe quoi
naco;national-communiste
natu;elève de la section des sciences naturelles
naze;l'argot nazi
naze;nasi
niac;niakoué
nibar;nichon
nibard;nichon
nickel;nicolaus
nigaud;nicodème
noeud pap;noeud papillon
nom d'un ch !;juron
norm sup;ecole normale supérieure
nounou;nourrice
nullache;nul à chier
objo;objectif photographique
occaz;occasion
offlag;offizierlager
offre;offre publique d'échange
oflag;offizierlager
op;op art
op. cit;op. cit
ophtalmo;ophtalmologiste/ ophtalmologue
opér-comi;opéra comique
p. j;p. j
p. s. v;p. s. v
paco;paquetage
paki;pakistanais en particulier: magasin ouvert le soir ordinairement tenu par un ou des pakistanais... en belgique du moins
pan pan;panne
pan pan pan;panne
panache;panaché
panne;panade
papounet;papa
parégo;élixir parégorique
pas gymn;pas gymnastique
passer à l'as;astic
pastaga;pastis
pecque;pécore
pelloche;pellicule
pelote;consigne
penco;pensionnaire
pensco;pensionnaire
percus;percussions ... et jean-loup aux percus!
perpette;perpétuité
perso;chaque mot
perso;personnel ou personnellement
petit co;camarade
petit colon;lieutenant-colonel
petit déj';petit déjeuner
piquouse;piqûre
piquouze;piqûre
pistoche;piscine
pixel;picture
placo;un contreplaqué
plan;plan d'épargne
plastoc;plastique
plato filer le -;courtiser
plouc;noms de communes bretonnes commençant par ploug
plouk;noms de communes bretonnes commençant par ploug
point;points suspensifs
poiscaille;poisson
pola;polaroïd dans le film les visiteurs
polard;polarisé
polarder;polarisé
policier;policier d'une police secrète
ponia;michel poniatowski
pop;pop art
pop;pop music
popo;pauline
populace;population
pot d'éch;pot d'échappement
pot-au-f;prostituée
potache;pot à chien
poulaga;poulet
pourliche;pourboire
poutre;poutres ap'
prelotte !;juron
premier;première année de droit
premier;première partie du baccalauréat
presque-off;sous-officier
preu;premier
probit;probability unit
produit;produit national net
prolongue;prolongation de g.a.v
propfan;propeller fan
proprio;propriétaire
prosse;prostitution quand le mot en désigne le milieu
protal;proviseur
protection;protection rapprochée
prusco;prussien
préli;enquête préliminaire
prélime;enquête préliminaire
prépa;classe préparatoire aux grandes écoles
prévence;prévention
psycho;psychologie un cours de psycho
pub;public house
puniss;punition
pyro;magasin pyrotechnique
péca;mauvais café
pédé;pédophile
pédé;pédéraste attestée depuis le xxe siècle
pédé;signification
péloche;pellicule
pépé;père
quasi;presque
queude;que
quota;quota pars
quota;quote-part
quèsaco;qu'est-ce que c'est
rab;en plus
rab de rab;rabiot
rad-soc;radical-socialiste
radic-soc;radical socialiste
ramollo;ramolli
rate;prison
redam;rédemption
redingue;redingote
relever;relevé des condamnations
relègue;relégation
rembo;rendez-vous
renbrot;rembroque
rencart;rendez-vous
rendem;vol au rendez-moi
rendève;rendez-vous
renque;rendez-vous
res co;restaurant communautaire
restau;restaurant universitaire
restau u;restaurant
restau u;restaurant universitaire
restau u;u
restaurant;restaurant gastronomique
resto;restaurant et restau-u
resto;restaurant universitaire
retranchement;retranchement d'une syllabe
reuf;du verlan reufré de frère
rififi;rifle
ringue;ringard
rip;pourri
rital;italien
rital;r+italien
rocker;rock'n'roll
rockeur;rock'n'roll
ronéo;machine à ronéotyper
rosto;bec de gaz
règlement;règlement de police
récup de -;récupération
récup jour de -;jour de récupération
réglo;régulier
s. o. s;s. o. s. !
s. v. p;s. v. p
saint-dome;tabac
saint-hippo;église saint-hippolyte
saint-lag;saint-lazare
salingue;sale
salle de po;salle de police
salva;un verre de bière
sam;samuel ou samantha
sans déc';sans déconner
sans spé;sans spécialité
sap;cercueil
sape;costume
sarcif;saucisson
sauciflard;saucisson
schizo;schizophrène ou schizophrénique
schola;schola cantorum
science po;science politique
sciences ex;sciences expérimentales
sciences nat;sciences naturelles
sciences-po;sciences politiques
scone;schonbrot
sensass;sensationnel
serg-mag;sergent-major
sergot;sergent
sergot;sergent de ville
show-biz;show-business
showbiz;show-business
sigle;sigle simple
simu;simulateur de vol
sinus;sin. a
skeleton;skeleton toboggan
skin;skin
soft;soft drink
soluce;solution
sono;matériel de sonorisation
soum;sous-marin
sous-come;sous-adjudant de surveillance dans les bagnes
sous-d;avant-dernier
soutif;soutien-gorge
stal;stalinien en jargon gauchiste.%%
stalag;stammlager
stiple;steeple-chase
stock-car;car
stock-car;la locution nominale anglaise stock car racing « course de voiture de série » composé de stock
stom;estomac
strass;stration
stuka;sturzkampfflugzeug
stylo;stylo
stéréophonie;stéréophonie et quadriphonie
super g;supergéant
suppôt;suppositoire
surgé;surveillant général
surli;engagé militaire que l'école admet en reculant la limite d'âge
synchro;synchronisation ou synchronisé
sécu;sécurité sociale
tabagn's;tabagnon
tac;taxi
taf;peur
tag;ta gueule
tansad;tandem saddle
tekos;technicien
tire-au-c;fainéant
titi;tirailleur
top;top niveau
toxico;la dernière syllabe
transfo;transformateur électrique
trav man;travail manuel
trav';travaux publics
travailler dans le bât;bâtiment
travelo;travesti
traviole;travers
tristoune;triste
tristounet;triste
trouduc;anus
trouduc;trou du cul
tu p;tu parles
tubard;tuberculeux
turbo;moteur turcompressé
téloche;télévision
télé;téloche
unité;unité d'enseignement et de recherche
valoche;valise
vario;appareil de pilotage
vel' d'hiv;vélodrome d'hiver
vigousse;vigoureux
vopo;volkspolizei
webdocu;mot composé de web et de docu
whiskies;whiskyboe
yank;soldat américain
zarbe;du verlan zarbi
zouzou;zouave
à l'estime;à l'estimation
à p;a poil
à répète;à répétition
ça suf;ça suffit
écopo;economie politique
être cap de;être capable de
être ex;être exempté de faire ou d'obtenir qqchose chose
être mobilo;être mobilisé
