#предлоги и артикли
à
au
aux
de
du
des
un
une
y

#союзы и частицы
ou
et
mais
ne
pas
aussi

#предлоги
en
dans
sur
sans
avec
par            
pour

#наречия
là
ici

#относит.местоимения
qui
que

#безуд. мест.
me
te
le
la
les
se

#указат.мест.
même
ce
cet
cette
ces
ceci
cela

#личные мест.
je
tu
il
elle
on
nous
vous
ils
elles

#ударные мест.        
moi
toi
soi
lui
eux

#притяжат.мест.
ma
mon
mes
ta
ton
tes
sa
son
ses
notre
nôtre
nos
votre
vôtre
vos
leur
leurs

#неопредёл.мест.
quel
quelle
quels
quelles

#междометия
fi

#être
été
étée
étées
étés
étant
suis
es
est
sommes
êtes
sont
serai
seras
sera
serons
serez
seront
serais
serait
serions
seriez
seraient
étais
était
étions
étiez
étaient
fus
fut
fûmes
fûtes
furent
sois
soit
soyons
soyez
soient
fusse
fusses
fût
fussions
fussiez
fussent

#avoir
ayant
eu
eue
eues
eus
ai
as
avons
avez
ont
aurai
auras
aura
aurons
aurez
auront
aurais
aurait
aurions
auriez
auraient
avais
avait
avions
aviez
avaient
eut
eûmes
eûtes
eurent
aie
aies
ait
ayons
ayez
aient
eusse
eusses
eût
eussions
eussiez
eussent
